model,feature_set,train_size,test_auc,test_lo,test_hi
LogReg,all,50,0.8615667762635904,0.846189780076057,0.8769437724511236
LogReg,all,100,0.9036942616593182,0.8962187081420562,0.9111698151765802
LogReg,all,200,0.9163825896611095,0.9122816610784938,0.9204835182437252
LogReg,all,500,0.9301994397061202,0.9284712626225673,0.9319276167896731
LogReg,all,1000,0.9352370422771245,0.933896818136534,0.9365772664177149
LogReg,all,2000,0.9398314372620643,0.9389892752336408,0.9406735992904878
LogReg,all,5000,0.9439703895510678,0.9435879891505624,0.9443527899515732
LogReg,all,10143,0.945716154349248,0.9457161543492479,0.9457161543492482
RF,all,50,0.9525912479663763,0.9491864447608594,0.9559960511718931
RF,all,100,0.9693947254070583,0.9680057210193463,0.9707837297947702
RF,all,200,0.9833835343598961,0.9820071597627026,0.9847599089570896
RF,all,500,0.9964848158578887,0.9960177005022616,0.9969519312135159
RF,all,1000,0.9994440810987573,0.9993340301211494,0.9995541320763651
RF,all,2000,0.9999595129091533,0.9999458850141107,0.9999731408041959
RF,all,5000,0.9999997033912758,0.9999992625584616,1.0000001442240898
RF,all,10143,1.0,1.0,1.0
HGB,all,50,0.6333266225609494,0.6040499437047935,0.6626033014171053
HGB,all,100,0.9751410003722439,0.9694906529588243,0.9807913477856636
HGB,all,200,0.9963167870156564,0.9952113074580461,0.9974222665732667
HGB,all,500,0.9990926368367272,0.998657083641732,0.9995281900317224
HGB,all,1000,0.9997608221400617,0.9996033406756463,0.9999183036044771
HGB,all,2000,0.999914057622177,0.9998402811666393,0.9999878340777147
HGB,all,5000,0.9999872458248612,0.9999817752335054,0.999992716416217
HGB,all,10143,0.9999936970646118,0.9999908130976279,0.9999965810315957
MLP,all,50,0.6275236582533604,0.6033196340236072,0.6517276824831136
MLP,all,100,0.6687942410450118,0.6235764231906975,0.7140120588993262
MLP,all,200,0.8124735091333241,0.7611743572711822,0.8637726609954659
MLP,all,500,0.9299861780334545,0.9208116679264403,0.9391606881404687
MLP,all,1000,0.9617389576279608,0.9572823854294381,0.9661955298264835
MLP,all,2000,0.9810728782465679,0.9778250890264454,0.9843206674666903
MLP,all,5000,0.9944068492886583,0.9940365061802777,0.9947771923970389
MLP,all,10143,0.9975557216564409,0.9973806071552418,0.99773083615764
Ensemble,all,50,0.9269127925859684,0.9209558452233538,0.9328697399485829
Ensemble,all,100,0.9769033752589765,0.97386525816491,0.9799414923530431
Ensemble,all,200,0.9926205232474501,0.9901434384834589,0.9950976080114413
Ensemble,all,500,0.9992185101640395,0.9990841925162123,0.9993528278118667
Ensemble,all,1000,0.9995298751722185,0.9994021427542679,0.9996576075901691
Ensemble,all,2000,0.9998525113119152,0.9998123324544915,0.9998926901693389
Ensemble,all,5000,0.9999678179534295,0.9999537042673798,0.9999819316394791
Ensemble,all,10143,0.9999916949557237,0.9999886574205498,0.9999947324908977
