model,target,auc
LogReg,UCI_self_commonfeats,0.9193548387096774
LogReg,UCI_to_NHANES,0.3590920017281206
LogReg,UCI_to_Tawam,0.5267241379310345
RF,UCI_self_commonfeats,0.9758064516129032
RF,UCI_to_NHANES,0.7670129394097741
RF,UCI_to_Tawam,0.6162972085385878
HGB,UCI_self_commonfeats,0.9662563667232598
HGB,UCI_to_NHANES,0.422322604629131
HGB,UCI_to_Tawam,0.6413998357963875
MLP,UCI_self_commonfeats,0.9605263157894737
MLP,UCI_to_NHANES,0.32837043260957155
MLP,UCI_to_Tawam,0.7694581280788177
Ensemble,UCI_self_commonfeats,0.9766553480475382
Ensemble,UCI_to_NHANES,0.44611827386065395
Ensemble,UCI_to_Tawam,0.627811986863711
