feature_set,feature_set_label,model,ceiling,ceiling_ci_lo,ceiling_ci_hi,a,a_ci_lo,a_ci_hi,b,b_ci_lo,b_ci_hi,r2,sensitivity_ceiling
all,All features,LogReg,0.9457161543492482,0.9457161543492482,0.952683157637745,1.7358960452844836,0.34917773822761894,3.1557305568543357,0.7804166409604955,0.42681174953913525,0.9286675182023941,0.9904836636221416,0.9495331288046388
all,All features,RF,0.9999999999999999,0.9999999999999793,0.9999999999999999,1.4455647057199041,0.8893932780350656,199.99357711979832,0.8643464376907227,0.7459677712293697,1.774006845331522,0.9803287097898443,0.9999999999999999
all,All features,HGB,0.9999999999999999,0.9999960713734892,0.9999999999999999,199.99999999999997,14.296375631384697,199.99999999999997,1.6368324518075834,1.559585617450292,1.965179515959006,0.9228242809811956,0.9999999999987066
all,All features,MLP,0.9999999999999999,0.9999407155880081,0.9999999999999999,4.789564338710918,2.9957181792845367,49.663263658567715,0.6288502702946007,0.512770548935317,1.0529973471745284,0.9483434393316694,0.9999996917371512
all,All features,Ensemble,0.9999999999999999,0.9999916949557238,0.9999999999999999,49.91707292650471,45.26901018255863,199.97119172235534,1.6682188944562584,1.6461255664731527,1.968766788723894,0.9998570342473715,0.9999999999999998
no_egfr_acr,No eGFR/ACR,LogReg,0.813117224216916,0.813117224216916,0.8142596688196141,12.850232058650754,1.6118051897141166,22.714933379820124,1.30527824947131,0.868633236306739,1.4489724176111012,0.9964959931470553,0.8131793055481483
no_egfr_acr,No eGFR/ACR,RF,0.9739872150681772,0.9736742702313106,0.9776829319242681,1.195136046544757,0.40159291078175097,1.461233583156982,0.7309866799983097,0.5019271074706746,0.7817240829953666,0.9979758871641397,0.9772615860654335
no_egfr_acr,No eGFR/ACR,HGB,0.9753350937066145,0.9753350937061114,0.9885874125006671,199.99999999999997,0.3832314006701709,199.99999999999997,1.6362912814174075,0.42777844226520617,1.642188674153595,0.9719310946676095,0.9811891471964034
no_egfr_acr,No eGFR/ACR,MLP,0.9999999999999999,0.9719629704623999,0.9999999999999999,2.658207161845248,1.5707171080604743,199.99999999989925,0.4481022799389582,0.31847839009528994,1.2113919894473675,0.8591219804010735,0.972503219643604
no_egfr_acr,No eGFR/ACR,Ensemble,0.9745746260134751,0.9745746260134751,0.9855328916477516,3.4975500835295246,0.17220590816319395,9.803608359204238,0.9463782476866496,0.3034641053871367,1.2034266089008132,0.9784622738811977,0.9845353973225759
no_lab_surrogates,No eGFR/ACR/Cr/BUN,LogReg,0.6925848560483708,0.6925848560483708,0.6960357350119829,4.642701971708021,0.7716165767553341,9.045567742552889,1.0375988963627651,0.6546902880648232,1.2043377622984062,0.9947066985493234,0.6936943235469034
no_lab_surrogates,No eGFR/ACR/Cr/BUN,RF,0.9220533887779421,0.9214719504544788,0.9254396797819826,2.417271776001769,0.9102722814852259,2.572777127495077,0.7864560700867698,0.5894860286180101,0.8031525160669679,0.9994983473261222,0.9245158146819109
no_lab_surrogates,No eGFR/ACR/Cr/BUN,HGB,0.9190965965631948,0.9190965965631948,0.9531781294181215,199.99999974515552,0.2275201177769795,199.99999999999997,1.6723835190863607,0.20083085378618518,1.6796136651193652,0.9734970509869889,0.946502508779305
no_lab_surrogates,No eGFR/ACR/Cr/BUN,MLP,0.999999999999998,0.9176079895931502,0.9999999999999999,1.7822348383713136,1.2836180257670484,129.4096976712587,0.32517350253373456,0.24648978546638528,1.113196461357152,0.8691505028005494,0.9207072572837478
no_lab_surrogates,No eGFR/ACR/Cr/BUN,Ensemble,0.9206888292705354,0.9206888292705354,0.9382228210113638,5.530415339750335,0.2165873821185429,17.15138572964921,0.9684920685871942,0.275778510520692,1.2509342324901327,0.9749978983228447,0.936854213538043
